Date,Open,High,Low,Close,Adj Close,Volume
2019-11-11,61.689999,62.020000,61.689999,61.869999,61.869999,3000
2019-11-12,62.700001,63.029999,62.700001,62.849998,62.849998,3200
2019-11-13,62.150002,62.150002,61.849998,61.980000,61.980000,4400
2019-11-14,62.020000,62.110001,62.020000,62.049999,62.049999,2900
2019-11-15,62.230000,62.230000,62.130001,62.160000,62.160000,4500
2019-11-18,62.340000,62.389999,62.290001,62.349998,62.349998,2500
2019-11-19,61.389999,61.580002,61.389999,61.580002,61.580002,2600
2019-11-20,60.830002,61.009998,60.830002,60.930000,60.930000,16600
2019-11-21,59.180000,61.970001,59.180000,61.299999,61.299999,4400
2019-11-22,61.020000,61.400002,61.020000,61.099998,61.099998,2600
2019-11-25,61.070000,61.570000,61.070000,61.330002,61.330002,2700
2019-11-26,61.200001,61.500000,61.150002,61.209999,61.209999,7200
2019-11-27,61.349998,61.349998,61.080002,61.160000,61.160000,4900
2019-11-29,60.970001,61.150002,60.959999,61.029999,61.029999,1900
2019-12-02,61.549999,61.549999,61.259998,61.459999,61.459999,11000
2019-12-03,60.090000,60.750000,59.689999,60.209999,60.209999,22300
2019-12-04,59.099998,59.099998,58.849998,59.099998,59.099998,14500
2019-12-05,59.360001,59.560001,58.709999,59.040001,59.040001,9800
2019-12-06,59.250000,59.320000,58.959999,59.049999,59.049999,10200
2019-12-09,59.160000,59.380001,59.099998,59.189999,59.189999,10500
2019-12-10,58.799999,59.160000,58.759998,58.770000,58.770000,5000
2019-12-11,58.549999,59.500000,58.549999,59.400002,59.400002,11800
2019-12-12,59.400002,59.590000,59.270000,59.490002,59.490002,3900
2019-12-13,61.020000,61.290001,60.970001,61.279999,61.279999,8700
2019-12-16,60.610001,61.110001,60.610001,60.900002,60.900002,2300
2019-12-17,60.880001,61.630001,60.880001,61.490002,61.490002,11000
2019-12-18,61.180000,61.180000,61.020000,61.049999,61.049999,2700
2019-12-19,60.709999,60.740002,60.580002,60.660000,60.660000,4600
2019-12-20,60.910000,61.000000,60.869999,61.000000,61.000000,8500
2019-12-23,61.000000,61.000000,60.759998,60.840000,60.840000,7800
2019-12-24,60.849998,61.049999,60.849998,60.869999,60.869999,2200
2019-12-26,61.180000,61.400002,61.180000,61.340000,61.340000,5500
2019-12-27,61.099998,61.099998,60.180000,60.189999,60.189999,15500
2019-12-30,59.549999,60.689999,58.950001,59.680000,59.680000,4300
2019-12-31,59.009998,60.000000,59.009998,59.660000,59.660000,2800
2020-01-02,58.610001,60.490002,58.610001,59.950001,59.950001,5300
2020-01-03,59.200001,59.750000,59.200001,59.750000,59.750000,1500
2020-01-06,57.340000,59.110001,57.340000,58.490002,58.490002,14100
2020-01-07,57.700001,58.169998,57.439999,57.970001,57.970001,14800
2020-01-08,57.770000,57.930000,57.349998,57.930000,57.930000,9400
2020-01-09,57.000000,57.000000,56.000000,56.400002,56.400002,15500
2020-01-10,56.549999,57.000000,56.250000,56.560001,56.560001,9700
2020-01-13,55.220001,57.320000,55.220001,56.070000,56.070000,9200
2020-01-14,57.509998,57.509998,55.840000,57.380001,57.380001,6500
2020-01-15,57.650002,58.610001,57.650002,58.480000,58.480000,12900
2020-01-16,59.200001,59.380001,59.099998,59.270000,59.270000,8000
2020-01-17,59.459999,59.459999,59.020000,59.160000,59.160000,3800
2020-01-21,56.669998,57.689999,56.669998,57.570000,57.570000,10200
2020-01-22,57.180000,57.430000,57.180000,57.200001,57.200001,9600
2020-01-23,56.549999,57.049999,56.380001,56.630001,56.630001,8300
2020-01-24,56.360001,56.470001,55.840000,56.020000,56.020000,9200
2020-01-27,53.970001,53.970001,52.599998,53.250000,53.250000,8600
2020-01-28,54.770000,54.770000,53.709999,53.709999,53.709999,21800
2020-01-29,53.810001,54.400002,53.810001,54.060001,54.060001,20400
2020-01-30,52.990002,54.080002,52.990002,54.000000,54.000000,7400
2020-01-31,53.820000,54.139999,53.500000,53.500000,53.500000,17200
2020-02-03,52.500000,53.000000,51.980000,52.790001,52.790001,10900
2020-02-04,51.869999,52.950001,51.869999,52.950001,52.950001,15200
2020-02-05,53.980000,53.980000,52.560001,52.900002,52.900002,20800
2020-02-06,53.820000,53.990002,53.820000,53.880001,53.880001,23300
2020-02-07,53.500000,53.500000,52.750000,52.750000,52.750000,31400
2020-02-10,52.380001,53.419998,52.380001,53.169998,53.169998,10900
2020-02-11,53.709999,53.709999,53.200001,53.400002,53.400002,14000
2020-02-12,54.349998,54.750000,54.349998,54.650002,54.650002,17900
2020-02-13,54.660000,55.000000,54.660000,54.779999,54.779999,13100
2020-02-14,54.130001,54.130001,53.799999,53.830002,53.830002,11100
2020-02-18,52.779999,53.799999,52.779999,53.540001,53.540001,13900
2020-02-19,54.290001,54.360001,54.139999,54.200001,54.200001,25200
2020-02-20,53.430000,53.570000,53.110001,53.369999,53.369999,11800
2020-02-21,52.590000,52.919998,52.340000,52.680000,52.680000,7400
2020-02-24,51.000000,51.500000,51.000000,51.160000,51.160000,22900
2020-02-25,51.000000,51.000000,49.919998,50.160000,50.160000,29000
2020-02-26,50.200001,51.029999,50.200001,50.849998,50.849998,37200
2020-02-27,49.480000,49.939999,49.000000,49.000000,49.000000,22700
2020-02-28,48.000000,49.590000,47.790001,49.570000,49.570000,24000
2020-03-02,48.549999,50.430000,48.549999,50.430000,50.430000,23800
2020-03-03,50.580002,50.849998,49.549999,50.279999,50.279999,56300
2020-03-04,50.270000,51.090000,50.270000,50.759998,50.759998,36700
2020-03-05,51.520000,51.860001,51.220001,51.220001,51.220001,368800
2020-03-06,51.919998,51.919998,50.570000,51.240002,51.240002,25000
